battle_number,First_pokemon,Second_pokemon,Winner
7401,449,349,1
7402,759,732,1
7403,386,303,1
7404,240,290,0
7405,687,668,0
7406,424,30,0
7407,669,513,1
7408,511,337,1
7409,668,794,1
7410,570,160,0
7411,475,194,0
7412,620,360,0
7413,304,593,0
7414,319,563,1
7415,557,11,0
7416,456,521,1
7417,423,560,0
7418,194,49,0
7419,11,538,1
7420,761,470,1
7421,565,17,0
7422,766,620,1
7423,72,770,0
7424,430,632,1
7425,248,74,0
7426,789,335,1
7427,393,544,1
7428,485,378,1
7429,619,543,1
7430,11,598,1
7431,332,197,1
7432,14,333,1
7433,64,334,0
7434,76,330,1
7435,293,27,1
7436,247,185,1
7437,19,700,1
7438,14,420,1
7439,393,96,0
7440,227,730,1
7441,417,631,1
7442,769,140,0
7443,41,579,1
7444,398,785,0
7445,517,739,1
7446,238,603,1
7447,268,597,1
7448,358,276,1
7449,81,6,0
7450,105,210,0
7451,275,386,0
7452,518,553,1
7453,71,9,0
7454,795,208,0
7455,133,449,0
7456,146,581,1
7457,123,49,0
7458,320,104,1
7459,604,125,1
7460,101,582,0
7461,654,189,0
7462,509,184,1
7463,159,287,0
7464,375,133,1
7465,641,561,1
7466,719,546,1
7467,50,570,1
7468,395,473,1
7469,736,89,0
7470,624,361,1
7471,6,317,1
7472,577,507,1
7473,232,277,0
7474,752,390,1
7475,662,482,0
7476,154,592,0
7477,785,703,1
7478,551,404,0
7479,64,744,0
7480,319,741,1
7481,560,781,0
7482,352,567,1
7483,38,668,0
7484,140,278,1
7485,609,190,0
7486,719,235,1
7487,426,154,1
7488,470,525,1
7489,26,629,1
7490,354,648,1
7491,130,333,0
7492,131,241,0
7493,594,339,1
7494,759,303,1
7495,287,293,1
7496,327,176,1
7497,414,137,0
7498,443,763,0
7499,748,712,0
7500,466,492,0
7501,474,535,1
7502,89,537,1
7503,288,775,0
7504,698,443,1
7505,124,154,1
7506,131,418,0
7507,328,283,1
7508,101,157,0
7509,768,136,1
7510,1,54,1
7511,134,505,0
7512,41,91,1
7513,88,770,1
7514,668,546,1
7515,59,357,0
7516,581,584,0
7517,603,784,0
7518,422,367,0
7519,184,324,0
7520,184,568,0
7521,79,129,0
7522,540,428,0
7523,520,498,1
7524,205,70,0
7525,372,554,1
7526,797,478,0
7527,554,533,0
7528,623,489,0
7529,708,143,0
7530,710,630,0
7531,337,515,0
7532,451,768,1
7533,44,292,0
7534,382,795,1
7535,284,296,1
7536,602,315,0
7537,611,425,0
7538,762,652,0
7539,70,351,0
7540,69,547,0
7541,683,86,0
7542,287,478,1
7543,287,432,1
7544,737,360,1
7545,425,458,0
7546,212,95,0
7547,29,408,0
7548,472,180,0
7549,338,757,0
7550,85,335,0
7551,641,119,1
7552,440,15,0
7553,68,774,0
7554,321,59,1
7555,639,721,1
7556,499,125,0
7557,641,730,1
7558,209,26,1
7559,638,110,1
7560,753,678,1
7561,634,138,1
7562,118,261,1
7563,230,711,1
7564,699,48,0
7565,282,698,1
7566,656,723,1
7567,110,254,0
7568,455,444,1
7569,182,261,1
7570,690,778,0
7571,637,143,1
7572,413,44,1
7573,226,300,1
7574,210,660,1
7575,607,627,0
7576,284,609,0
7577,32,472,1
7578,772,148,0
7579,538,533,0
7580,365,678,0
7581,534,689,0
7582,579,495,0
7583,204,26,1
7584,182,526,1
7585,119,340,1
7586,146,465,1
7587,348,586,0
7588,458,783,1
7589,146,778,1
7590,230,774,0
7591,765,313,1
7592,73,371,1
7593,515,9,1
7594,410,202,0
7595,494,537,0
7596,333,537,1
7597,737,151,0
7598,366,528,1
7599,710,147,0
7600,545,692,0
7601,687,268,0
7602,360,412,0
7603,42,780,0
7604,485,416,1
7605,668,48,1
7606,781,471,0
7607,427,94,0
7608,35,61,1
7609,741,334,0
7610,227,84,1
7611,649,13,0
7612,569,484,1
7613,710,269,0
7614,635,234,1
7615,583,714,0
7616,441,229,1
7617,354,761,0
7618,624,646,1
7619,264,4,0
7620,670,758,1
7621,700,357,0
7622,398,35,0
7623,576,235,0
7624,428,704,1
7625,791,79,1
7626,600,662,0
7627,248,683,0
7628,277,431,1
7629,471,165,1
7630,341,230,0
7631,169,627,0
7632,292,79,1
7633,42,259,1
7634,312,460,1
7635,166,478,1
7636,722,587,1
7637,112,522,1
7638,304,389,0
7639,278,748,1
7640,562,453,1
7641,7,56,0
7642,522,531,1
7643,140,758,0
7644,23,198,0
7645,413,383,1
7646,677,751,1
7647,105,397,1
7648,119,125,1
7649,650,622,0
7650,334,497,1
7651,527,401,0
7652,710,798,0
7653,311,252,0
7654,343,171,0
7655,333,275,1
7656,20,494,0
7657,288,524,0
7658,614,455,0
7659,286,642,0
7660,701,766,1
7661,386,640,0
7662,694,487,0
7663,83,268,1
7664,273,564,0
7665,605,36,1
7666,615,344,0
7667,639,785,1
7668,251,102,1
7669,267,147,1
7670,2,796,0
7671,621,152,1
7672,730,150,0
7673,42,160,0
7674,778,627,0
7675,657,332,0
7676,445,777,1
7677,160,514,1
7678,422,389,0
7679,316,241,0
7680,791,348,1
7681,780,26,1
7682,250,527,0
7683,625,629,1
7684,40,365,1
7685,679,501,0
7686,651,349,1
7687,111,707,1
7688,567,394,1
7689,524,167,0
7690,212,666,0
7691,607,76,1
7692,410,701,0
7693,457,356,0
7694,626,460,1
7695,580,614,1
7696,69,586,1
7697,615,539,1
7698,530,173,0
7699,561,259,1
7700,6,300,1
7701,87,211,1
7702,414,223,0
7703,636,94,1
7704,55,667,0
7705,486,598,1
7706,414,498,0
7707,6,15,0
7708,628,265,1
7709,377,21,0
7710,60,726,1
7711,533,547,0
7712,19,295,0
7713,353,550,1
7714,95,467,1
7715,245,481,1
7716,460,715,1
7717,142,422,1
7718,174,188,0
7719,116,218,0
7720,703,799,0
7721,232,437,0
7722,280,402,0
7723,126,209,1
7724,200,524,1
7725,592,292,0
7726,190,195,1
7727,698,118,0
7728,50,64,1
7729,196,716,1
7730,461,313,1
7731,448,97,0
7732,401,262,0
7733,255,152,0
7734,403,642,1
7735,360,362,1
7736,510,362,1
7737,724,412,0
7738,141,789,0
7739,355,780,1
7740,392,585,1
7741,70,691,1
7742,142,637,0
7743,424,440,0
7744,530,673,1
7745,87,746,1
7746,233,755,0
7747,293,274,1
7748,339,332,0
7749,3,669,0
7750,189,391,1
7751,39,302,1
7752,602,75,1
7753,39,179,1
7754,749,467,1
7755,89,755,1
7756,632,22,1
7757,349,599,0
7758,170,235,0
7759,775,323,0
7760,186,552,1
7761,317,665,1
7762,675,376,1
7763,485,294,1
7764,127,81,0
7765,616,690,0
7766,319,451,1
7767,362,667,0
7768,418,170,0
7769,619,138,1
7770,777,617,0
7771,340,517,1
7772,410,798,0
7773,5,763,0
7774,180,181,1
7775,249,505,0
7776,130,641,1
7777,375,712,1
7778,707,152,0
7779,781,639,0
7780,379,3,1
7781,703,270,0
7782,598,756,0
7783,460,725,1
7784,159,462,0
7785,438,282,0
7786,778,312,0
7787,428,760,0
7788,5,443,1
7789,48,451,0
7790,681,590,1
7791,300,598,0
7792,281,441,1
7793,488,773,1
7794,548,313,1
7795,311,657,0
7796,337,398,1
7797,298,104,1
7798,551,425,0
7799,62,758,1
7800,160,275,1
7801,111,519,1
7802,177,447,0
7803,31,231,0
7804,290,329,1
7805,346,793,1
7806,634,278,0
7807,679,621,0
7808,762,687,1
7809,654,178,1
7810,313,469,0
7811,20,642,0
7812,94,654,1
7813,453,660,1
7814,23,31,0
7815,730,571,1
7816,75,141,1
7817,105,596,1
7818,648,380,0
7819,152,265,1
7820,111,221,1
7821,524,211,0
7822,276,699,0
7823,281,334,1
7824,692,595,1
7825,542,302,0
7826,130,65,1
7827,590,406,1
7828,207,314,1
7829,10,562,1
7830,263,522,0
7831,161,635,1
7832,651,141,1
7833,704,162,0
7834,453,198,0
7835,138,750,0
7836,798,761,0
7837,138,504,0
7838,231,636,1
7839,232,245,0
7840,650,763,0
7841,713,588,1
7842,288,18,0
7843,696,13,1
7844,413,603,1
7845,712,772,1
7846,643,359,0
7847,268,362,1
7848,607,72,1
7849,335,751,1
7850,542,753,0
7851,287,182,0
7852,549,414,1
7853,434,615,1
7854,238,477,1
7855,295,344,1
7856,50,309,1
7857,163,508,0
7858,74,259,1
7859,704,559,0
7860,244,290,0
7861,708,572,1
7862,13,762,0
7863,400,177,1
7864,519,190,0
7865,164,80,0
7866,672,470,0
7867,326,85,1
7868,107,690,1
7869,371,393,1
7870,397,224,0
7871,60,798,1
7872,240,412,1
7873,201,153,1
7874,760,151,0
7875,75,20,1
7876,778,476,1
7877,192,600,1
7878,552,771,0
7879,182,82,1
7880,606,670,0
7881,450,156,0
7882,346,610,1
7883,449,744,1
7884,11,360,0
7885,434,21,1
7886,725,248,1
7887,460,99,1
7888,216,346,0
7889,446,665,0
7890,91,124,1
7891,319,585,0
7892,725,481,1
7893,308,741,0
7894,5,575,0
7895,312,85,1
7896,215,767,1
7897,371,127,1
7898,264,130,0
7899,304,514,1
7900,579,525,0
7901,40,312,0
7902,733,537,1
7903,633,598,0
7904,718,584,0
7905,177,373,0
7906,795,442,1
7907,791,714,1
7908,5,546,1
7909,706,152,0
7910,272,582,0
7911,56,205,1
7912,340,184,0
7913,728,117,0
7914,413,254,1
7915,22,211,0
7916,659,131,0
7917,714,323,0
7918,257,84,1
7919,233,495,1
7920,623,674,1
7921,777,728,0
7922,253,327,1
7923,382,536,1
7924,75,123,1
7925,290,468,1
7926,638,393,1
7927,646,196,0
7928,394,622,0
7929,207,409,1
7930,223,606,1
7931,316,692,0
7932,711,431,0
7933,790,449,1
7934,784,84,1
7935,82,756,1
7936,257,786,1
7937,82,143,1
7938,335,650,1
7939,661,39,0
7940,382,496,1
7941,351,136,1
7942,666,434,0
7943,626,672,1
7944,687,59,1
7945,331,173,1
7946,476,104,0
7947,390,402,1
7948,304,539,1
7949,781,299,1
7950,409,589,0
7951,254,534,1
7952,728,543,1
7953,599,381,1
7954,790,610,0
7955,309,5,1
7956,703,695,0
7957,344,48,1
7958,488,660,1
7959,277,106,1
7960,674,179,0
7961,365,739,1
7962,724,384,0
7963,201,774,1
7964,662,673,1
7965,130,477,1
7966,420,82,0
7967,202,504,0
7968,538,228,0
7969,165,137,0
7970,528,658,0
7971,593,205,1
7972,310,216,1
7973,634,372,0
7974,170,619,0
7975,258,601,0
7976,766,423,0
7977,339,619,0
7978,380,64,0
7979,601,34,1
7980,391,226,0
7981,89,283,1
7982,735,218,0
7983,395,626,0
7984,463,515,0
7985,22,52,0
7986,620,49,0
7987,440,186,1
7988,284,749,0
7989,193,498,0
7990,146,171,1
7991,575,711,1
7992,159,589,0
7993,315,137,1
7994,62,94,0
7995,643,305,0
7996,650,473,1
7997,299,643,1
7998,637,446,1
7999,453,278,0
8000,143,609,0
8001,310,223,1
8002,380,450,0
8003,220,266,1
8004,145,205,1
8005,395,92,1
8006,356,309,0
8007,609,482,1
8008,792,718,0
8009,702,680,0
8010,428,225,0
8011,190,371,1
8012,663,47,0
8013,752,541,1
8014,568,56,1
8015,129,443,1
8016,678,776,1
8017,2,733,0
8018,698,615,0
8019,427,386,0
8020,425,126,0
8021,157,298,0
8022,258,432,1
8023,635,662,0
8024,715,24,1
8025,633,379,0
8026,145,625,1
8027,510,338,1
8028,202,49,0
8029,535,182,0
8030,169,764,0
8031,59,785,1
8032,439,107,1
8033,59,142,0
8034,288,560,0
8035,440,762,0
8036,586,745,0
8037,499,88,0
8038,558,613,1
8039,626,557,1
8040,750,675,1
8041,370,25,1
8042,582,332,0
8043,294,664,1
8044,23,613,0
8045,371,190,0
8046,370,586,1
8047,682,296,0
8048,205,309,0
8049,552,218,0
8050,747,370,0
8051,445,661,0
8052,453,392,0
8053,49,301,1
8054,645,648,1
8055,265,215,0
8056,675,330,1
8057,568,742,0
8058,224,295,1
8059,266,352,1
8060,18,148,1
8061,493,196,0
8062,68,451,1
8063,405,89,0
8064,25,39,0
8065,274,84,0
8066,642,395,0
8067,105,788,1
8068,619,40,1
8069,514,163,1
8070,561,86,0
8071,766,76,0
8072,783,14,0
8073,593,687,1
8074,428,161,0
8075,738,399,0
8076,225,335,0
8077,223,427,1
8078,403,763,0
8079,685,241,0
8080,752,165,1
8081,45,394,1
8082,561,594,0
8083,629,13,0
8084,240,286,1
8085,667,602,1
8086,171,372,0
8087,131,684,0
8088,454,435,0
8089,349,449,0
8090,611,769,0
8091,727,515,0
8092,784,81,0
8093,508,54,0
8094,397,796,0
8095,761,463,0
8096,376,790,1
8097,29,174,1
8098,729,453,1
8099,247,780,0
8100,272,355,0
8101,541,627,0
8102,14,84,1
8103,514,348,1
8104,181,517,0
8105,654,647,1
8106,464,373,1
8107,279,430,1
8108,438,114,0
8109,510,22,1
8110,120,158,0
8111,742,20,1
8112,598,595,0
8113,123,334,0
8114,667,726,1
8115,760,408,0
8116,795,15,0
8117,371,429,1
8118,70,254,0
8119,349,607,0
8120,357,422,1
8121,221,780,1
8122,381,638,1
8123,538,557,1
8124,599,352,1
8125,229,562,0
8126,490,13,0
8127,511,170,1
8128,238,268,1
8129,55,647,0
8130,354,685,1
8131,694,638,0
8132,150,47,1
8133,561,707,1
8134,58,643,1
8135,328,186,1
8136,30,672,0
8137,311,356,0
8138,570,367,0
8139,439,521,1
8140,414,658,0
8141,499,152,0
8142,444,482,0
8143,294,777,1
8144,729,705,1
8145,318,767,1
8146,434,526,1
8147,678,397,1
8148,184,105,0
8149,787,629,1
8150,114,185,1
8151,217,435,1
8152,278,286,1
8153,641,565,1
8154,708,125,1
8155,96,15,1
8156,1,324,0
8157,498,132,1
8158,167,461,0
8159,438,133,0
8160,584,522,1
8161,559,515,0
8162,656,555,0
8163,48,413,1
8164,364,247,1
8165,531,275,1
8166,158,562,0
8167,541,662,0
8168,771,643,1
8169,22,541,1
8170,60,145,1
8171,516,243,1
8172,517,169,1
8173,705,711,0
8174,205,218,0
8175,279,402,0
8176,696,731,1
8177,263,547,0
8178,405,157,1
8179,624,116,0
8180,732,86,1
8181,507,325,0
8182,468,291,1
8183,800,132,1
8184,513,379,0
8185,590,303,0
8186,505,245,0
8187,461,309,1
8188,694,345,0
8189,97,34,1
8190,317,260,1
8191,245,494,0
8192,243,459,0
8193,748,123,0
8194,527,725,0
8195,213,42,0
8196,179,289,0
8197,427,403,0
8198,211,207,0
8199,648,606,1
8200,277,300,1
8201,62,48,1
8202,6,25,0
8203,167,229,1
8204,641,608,1
8205,623,427,1
8206,557,213,0
8207,663,106,0
8208,682,637,0
8209,432,373,0
8210,459,282,1
8211,520,54,0
8212,136,352,0
8213,636,640,0
8214,593,783,1
8215,250,59,1
8216,335,202,1
8217,21,74,0
8218,187,560,1
8219,133,129,0
8220,551,219,0
8221,53,461,1
8222,251,282,1
8223,765,444,1
8224,138,521,0
8225,70,49,0
8226,293,478,1
8227,750,311,0
8228,465,760,0
8229,89,136,1
8230,204,61,1
8231,733,381,1
8232,244,707,1
8233,667,602,1
8234,599,187,1
8235,795,177,0
8236,776,154,1
8237,23,41,0
8238,325,218,0
8239,43,406,1
8240,507,761,0
8241,733,734,0
8242,768,799,1
8243,313,23,1
8244,531,205,1
8245,302,433,1
8246,247,40,1
8247,340,438,0
8248,154,575,0
8249,366,462,0
8250,457,359,1
8251,737,792,1
8252,786,691,0
8253,620,390,0
8254,306,417,0
8255,393,764,0
8256,735,684,0
8257,664,282,0
8258,733,719,1
8259,150,616,1
8260,331,171,1
8261,148,104,1
8262,304,629,1
8263,460,472,1
8264,399,341,1
8265,54,349,1
8266,690,552,1
8267,525,88,0
8268,39,637,0
8269,634,54,0
8270,174,547,1
8271,4,620,0
8272,263,178,0
8273,221,745,1
8274,542,727,1
8275,155,8,0
8276,150,457,0
8277,420,680,0
8278,301,31,0
8279,339,668,0
8280,715,64,0
8281,184,367,0
8282,734,53,1
8283,504,587,1
8284,323,425,1
8285,750,274,1
8286,759,279,1
8287,738,692,1
8288,378,253,1
8289,428,672,0
8290,578,664,1
8291,45,421,1
8292,656,476,1
8293,738,708,0
8294,508,616,1
8295,268,616,1
8296,274,61,0
8297,359,342,1
8298,707,140,0
8299,165,532,1
8300,439,532,1
8301,534,40,0
8302,780,732,1
8303,607,585,1
8304,530,169,1
8305,115,454,0
8306,325,249,1
8307,196,325,0
8308,352,335,1
8309,687,660,0
8310,48,435,0
8311,609,446,1
8312,423,410,1
8313,49,698,1
8314,492,18,0
8315,68,434,0
8316,456,508,1
8317,772,267,0
8318,450,672,0
8319,486,710,1
8320,719,119,1
8321,422,191,0
8322,307,251,0
8323,133,351,0
8324,107,705,1
8325,780,283,1
8326,333,369,1
8327,140,246,0
8328,706,768,0
8329,585,228,1
8330,475,34,0
8331,594,596,1
8332,84,221,0
8333,397,10,0
8334,703,348,0
8335,679,494,0
8336,434,758,1
8337,452,358,1
8338,597,689,1
8339,680,54,1
8340,331,30,0
8341,693,738,0
8342,665,71,1
8343,761,151,1
8344,544,16,0
8345,368,325,0
8346,524,252,0
8347,253,332,0
8348,29,630,1
8349,673,389,0
8350,308,105,0
8351,114,704,1
8352,121,135,0
8353,514,765,1
8354,745,167,0
8355,757,553,1
8356,670,697,1
8357,791,266,0
8358,230,664,0
8359,599,42,1
8360,143,617,0
8361,597,439,0
8362,442,218,0
8363,120,309,1
8364,793,363,0
8365,789,52,0
8366,751,389,1
8367,750,757,1
8368,600,1,0
8369,313,692,0
8370,324,57,1
8371,140,148,1
8372,702,554,0
8373,329,651,1
8374,585,493,1
8375,275,361,0
8376,149,347,1
8377,662,146,1
8378,268,731,1
8379,396,423,1
8380,17,747,1
8381,542,138,1
8382,165,388,0
8383,619,69,0
8384,287,382,1
8385,344,172,1
8386,280,715,1
8387,129,259,1
8388,661,530,1
8389,225,464,1
8390,646,277,0
8391,548,157,1
8392,568,126,0
8393,541,416,0
8394,730,543,1
8395,670,497,1
8396,672,157,1
8397,531,285,1
8398,579,212,1
8399,265,72,1
8400,447,580,1
8401,385,118,0
8402,204,664,0
8403,205,385,0
8404,133,771,0
8405,614,61,0
8406,179,152,0
8407,377,585,0
8408,341,647,0
8409,265,353,0
8410,649,709,1
8411,286,35,0
8412,519,778,0
8413,430,645,0
8414,700,320,0
8415,178,601,0
8416,120,337,1
8417,203,764,1
8418,518,167,0
8419,638,406,1
8420,289,457,1
8421,115,432,1
8422,666,423,1
8423,578,638,1
8424,83,132,0
8425,351,606,1
8426,600,597,0
8427,251,213,1
8428,192,725,1
8429,361,222,0
8430,532,519,1
8431,681,272,1
8432,571,202,1
8433,588,754,0
8434,467,325,0
8435,346,364,1
8436,112,513,1
8437,613,389,0
8438,206,406,1
8439,448,560,1
8440,219,168,0
8441,505,182,0
8442,448,304,0
8443,263,14,0
8444,412,746,1
8445,157,786,1
8446,695,476,1
8447,198,798,1
8448,443,429,1
8449,689,139,1
8450,105,610,1
8451,361,57,1
8452,63,716,0
8453,736,428,1
8454,164,323,0
8455,31,364,0
8456,280,714,1
8457,83,527,1
8458,455,624,0
8459,685,23,1
8460,525,478,1
8461,515,304,0
8462,213,326,1
8463,548,652,0
8464,780,359,1
8465,482,460,0
8466,34,8,1
8467,570,558,0
8468,14,570,1
8469,247,196,0
8470,394,333,0
8471,660,258,0
8472,8,722,0
8473,325,707,1
8474,426,70,1
8475,270,708,0
8476,156,423,1
8477,15,123,1
8478,616,684,1
8479,527,328,1
8480,539,747,1
8481,472,583,1
8482,502,223,1
8483,245,178,0
8484,800,573,0
8485,174,764,1
8486,337,701,1
8487,206,32,1
8488,760,775,0
8489,575,123,0
8490,290,736,1
8491,458,27,1
8492,171,689,0
8493,545,19,0
8494,87,457,1
8495,314,161,0
8496,739,720,1
8497,513,35,0
8498,379,493,1
8499,5,84,1
8500,697,778,1
8501,258,686,0
8502,558,69,1
8503,694,118,0
8504,547,598,0
8505,631,83,0
8506,760,307,1
8507,485,764,1
8508,402,305,1
8509,627,159,0
8510,273,789,1
8511,485,667,1
8512,20,47,0
8513,622,8,1
8514,221,570,1
8515,495,103,0
8516,621,310,0
8517,692,711,1
8518,759,719,0
8519,214,260,0
8520,634,411,0
8521,164,269,0
8522,513,637,0
8523,324,593,1
8524,462,773,1
8525,278,481,1
8526,490,427,1
8527,360,86,1
8528,107,99,1
8529,141,320,0
8530,794,557,1
8531,497,336,1
8532,663,123,0
8533,390,741,1
8534,482,664,1
8535,658,27,0
8536,412,518,1
8537,451,119,0
8538,668,232,1
8539,235,203,1
8540,568,276,1
8541,754,660,0
8542,745,351,0
8543,495,135,1
8544,302,314,1
8545,84,11,0
8546,681,785,1
8547,744,488,1
8548,411,329,1
8549,401,654,0
8550,728,114,0
8551,544,628,0
8552,3,606,1
8553,129,480,1
8554,11,274,1
8555,749,791,0
8556,462,65,1
8557,382,182,1
8558,709,743,0
8559,147,442,0
8560,592,742,1
8561,190,154,1
8562,175,762,0
8563,285,432,0
8564,607,326,1
8565,230,756,0
8566,627,535,1
8567,132,382,0
8568,484,423,1
8569,793,449,0
8570,1,385,0
8571,579,800,1
8572,633,724,0
8573,473,424,1
8574,589,269,1
8575,229,369,1
8576,36,657,1
8577,284,239,0
8578,522,239,0
8579,396,224,1
8580,136,681,0
8581,16,107,0
8582,356,185,1
8583,406,520,0
8584,502,408,0
8585,378,629,1
8586,712,647,0
8587,692,463,0
8588,575,665,0
8589,377,120,0
8590,299,712,1
8591,23,214,0
8592,547,99,0
8593,421,612,1
8594,680,92,0
8595,431,424,1
8596,288,18,0
8597,562,558,0
8598,314,500,0
8599,401,179,1
8600,285,185,1
8601,451,502,0
8602,355,603,1
8603,656,576,1
8604,103,159,0
8605,703,223,0
8606,377,31,1
8607,747,318,0
8608,15,602,1
8609,761,8,1
8610,7,461,0
8611,784,509,1
8612,313,428,1
8613,629,125,0
8614,619,377,1
8615,686,279,1
8616,800,511,0
8617,264,403,0
8618,38,62,1
8619,454,723,1
8620,451,229,0
8621,392,454,0
8622,570,689,0
8623,378,743,1
8624,39,286,1
8625,212,416,0
8626,169,461,0
8627,564,203,1
8628,218,666,1
8629,75,176,0
8630,207,349,1
8631,136,318,0
8632,699,431,0
8633,421,176,0
8634,28,711,0
8635,60,698,1
8636,471,64,1
8637,172,267,0
8638,433,344,1
8639,641,260,1
8640,665,437,1
8641,93,86,0
8642,201,671,1
8643,203,730,1
8644,8,154,1
8645,469,288,1
8646,60,663,1
8647,210,797,1
8648,743,319,1
8649,71,716,0
8650,252,461,0
8651,639,227,1
8652,774,753,0
8653,519,473,0
8654,194,288,1
8655,130,69,1
8656,442,138,1
8657,709,650,0
8658,463,136,1
8659,659,318,1
8660,462,303,0
8661,181,10,0
8662,515,684,1
8663,221,123,1
8664,758,716,1
8665,43,439,0
8666,191,268,1
8667,203,405,1
8668,231,343,1
8669,115,696,0
8670,300,206,1
8671,596,643,1
8672,269,216,1
8673,31,268,0
8674,184,308,0
8675,608,224,1
8676,177,674,1
8677,96,609,1
8678,238,407,1
8679,334,457,0
8680,467,572,0
8681,641,464,1
8682,669,194,1
8683,466,792,1
8684,198,147,1
8685,592,164,1
8686,330,768,0
8687,476,558,0
8688,70,160,0
8689,25,502,0
8690,89,14,1
8691,610,208,0
8692,219,622,0
8693,74,417,1
8694,52,284,1
8695,585,3,1
8696,434,542,1
8697,299,752,0
8698,560,65,1
8699,99,428,1
8700,120,546,1
8701,704,569,0
8702,622,81,0
8703,480,627,1
8704,771,282,0
8705,251,69,0
8706,388,43,0
8707,587,94,0
8708,683,405,1
8709,376,792,1
8710,562,151,0
8711,444,575,0
8712,25,640,0
8713,245,452,0
8714,775,7,1
8715,286,498,1
8716,149,657,1
8717,134,784,0
8718,214,755,0
8719,488,304,0
8720,164,516,0
8721,268,745,1
8722,576,527,0
8723,156,185,0
8724,23,79,0
8725,457,704,1
8726,214,261,1
8727,633,769,0
8728,661,387,1
8729,74,113,0
8730,491,67,1
8731,693,166,1
8732,248,652,0
8733,75,385,0
8734,67,263,1
8735,535,772,1
8736,234,332,0
8737,488,141,1
8738,374,429,1
8739,354,259,1
8740,545,541,1
8741,585,622,1
8742,134,92,0
8743,68,613,1
8744,439,199,1
8745,131,747,0
8746,756,436,0
8747,745,619,0
8748,264,536,0
8749,281,731,1
8750,69,347,1
8751,745,43,0
8752,601,591,1
8753,199,650,1
8754,616,682,1
8755,34,180,0
8756,463,662,0
8757,448,314,1
8758,510,651,1
8759,762,431,1
8760,109,567,0
8761,68,715,1
8762,417,357,1
8763,532,584,1
8764,559,567,1
8765,224,543,1
8766,619,80,1
8767,522,27,0
8768,249,319,0
8769,345,143,0
8770,182,82,1
8771,182,375,1
8772,143,24,1
8773,511,179,1
8774,389,223,1
8775,774,680,0
8776,509,675,0
8777,134,342,1
8778,713,317,0
8779,265,517,0
8780,516,114,1
8781,459,103,1
8782,175,409,1
8783,674,638,0
8784,278,634,1
8785,473,719,0
8786,140,690,1
8787,40,41,0
8788,125,469,0
8789,210,171,1
8790,399,463,1
8791,646,400,0
8792,748,443,0
8793,570,259,0
8794,609,646,1
8795,258,502,1
8796,631,712,1
8797,297,251,1
8798,119,580,1
8799,431,693,0
8800,434,65,1
8801,7,781,0
8802,580,428,1
8803,507,367,1
8804,417,202,1
8805,634,76,0
8806,489,388,1
8807,624,443,1
8808,555,45,0
8809,80,756,0
8810,74,408,1
8811,505,173,0
8812,261,117,0
8813,309,725,1
8814,674,374,0
8815,337,786,1
8816,617,181,1
8817,352,117,0
8818,114,731,1
8819,749,352,1
8820,442,415,0
8821,135,24,1
8822,694,149,0
8823,223,425,1
8824,43,546,1
8825,539,492,0
8826,166,108,0
8827,488,795,1
8828,28,59,1
8829,217,350,1
8830,688,411,0
8831,699,455,1
8832,754,326,1
8833,689,80,1
8834,427,334,0
8835,480,266,0
8836,505,711,1
8837,413,583,1
8838,494,89,0
8839,79,720,0
8840,662,330,1
8841,532,261,1
8842,744,446,1
8843,789,614,1
8844,447,704,1
8845,642,696,1
8846,238,792,1
8847,397,724,1
8848,626,49,1
8849,270,273,0
8850,518,638,0
8851,58,683,1
8852,273,612,0
8853,607,577,0
8854,27,677,1
8855,408,593,0
8856,737,700,1
8857,401,638,1
8858,256,688,1
8859,56,296,0
8860,583,269,0
8861,10,594,0
8862,391,490,1
8863,628,646,1
8864,525,792,1
8865,708,710,1
8866,503,623,1
8867,569,41,0
8868,793,551,1
8869,514,261,1
8870,527,327,1
8871,239,95,1
8872,481,673,0
8873,391,291,1
8874,641,238,1
8875,408,189,0
8876,207,780,1
8877,30,603,1
8878,214,514,0
8879,51,300,1
8880,315,503,1
8881,331,100,0
8882,496,420,0
8883,142,344,1
8884,694,56,0
8885,525,778,0
8886,17,514,1
8887,511,377,1
8888,293,264,1
8889,558,695,0
8890,580,80,1
8891,121,318,0
8892,64,706,1
8893,233,122,0
8894,349,428,0
8895,169,212,1
8896,450,694,1
8897,558,1,1
8898,712,501,0
8899,539,214,1
8900,725,195,0
8901,227,533,1
8902,463,704,1
8903,222,270,1
8904,75,560,1
8905,567,306,1
8906,318,431,1
8907,710,771,0
8908,465,573,0
8909,721,112,0
8910,119,84,1
8911,435,224,0
8912,634,112,0
8913,302,340,1
8914,222,472,1
8915,395,206,1
8916,265,376,0
8917,610,436,0
8918,340,754,0
8919,451,751,1
8920,468,306,1
8921,764,506,0
8922,473,276,1
8923,464,633,1
8924,786,608,1
8925,274,386,0
8926,228,120,0
8927,468,351,1
8928,483,534,1
8929,398,306,0
8930,323,10,1
8931,339,406,0
8932,546,303,0
8933,483,222,0
8934,499,731,0
8935,265,173,0
8936,577,573,1
8937,613,670,0
8938,49,279,1
8939,175,251,0
8940,238,79,1
8941,146,134,1
8942,114,597,1
8943,641,652,0
8944,704,465,0
8945,668,800,1
8946,441,683,0
8947,334,384,1
8948,627,631,1
8949,392,738,0
8950,792,497,0
8951,64,8,1
8952,87,658,1
